" "," ","Total DPHY","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"EAT-FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND SERVING WORKERS", ,653130,23521,629609,653130,22811.1,617.15,14898623580
"EAT-COOKS", ,3136700,125282,3011418,3136700,13366.2,164.94,41925847698
"EAT-FOOD PREPARATION WORKERS", ,1368983,46082,1322901,1368983,10404.3,204.01,14243243674
"EAT-BARTENDERS", ,531358,14940,516418,531358,19399.9,594.48,10308272700
"EAT-COMBINED FOOD PREPARATION AND SERVING WORKERS, INCLUDING FAST FOOD", ,537881,19486,518395,537881,10018.9,304.92,5388992430
"EAT-COUNTER ATTENDANTS, CAFETERIA, FOOD CONCESSION, AND COFFEE SHOP", ,307589,5792,301797,307589,6527.2,287.71,2007693870
"EAT-WAITERS AND WAITRESSES", ,2952977,56724,2896253,2952977,12746.5,154.80,37640155772
"EAT-FOOD SERVERS, NONRESTAURANT", ,247798,10164,237634,247798,13246.4,508.33,3282442680
"EAT-MISCELLANEOUS FOOD PREPARATION AND SERVING RELATED WORKERS, INCLUDING DINING ROOM AND CAFETERIA ATTENDANTS AND BARTENDER HELPERS", ,513349,15707,497642,513349,9847.7,325.18,5055289750
"EAT-DISHWASHERS", ,500205,21447,478758,500205,8654.1,302.09,4328801530
"EAT-HOSTS AND HOSTESSES, RESTAURANT, LOUNGE, AND COFFEE SHOP", ,448069,6541,441528,448069,6745.0,240.93,3022218890
"CLN-FIRST-LINE SUPERVISORS OF HOUSEKEEPING AND JANITORIAL WORKERS", ,274195,16416,257779,274195,28790.0,1092.05,7894084340
"CLN-FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN SERVICE, AND GROUNDSKEEPING WORKERS", ,180129,4508,175621,180129,29542.0,1377.92,5321366740
"CLN-JANITORS AND BUILDING CLEANERS", ,3302683,189924,3112759,3302683,17568.9,191.48,58024617466
"CLN-MAIDS AND HOUSEKEEPING CLEANERS", ,2094785,109645,1985140,2094785,10775.6,180.53,22572578360
"CLN-PEST CONTROL WORKERS", ,87321,2263,85058,87321,27417.0,1509.37,2394081020
"CLN-GROUNDS MAINTENANCE WORKERS", ,1849854,67006,1782848,1849854,13569.4,222.49,25101403740
"PRS-FIRST-LINE SUPERVISORS OF GAMING WORKERS", ,27273,932,26341,27273,35436.5,3192.26,966459900
"PRS-FIRST-LINE SUPERVISORS OF PERSONAL SERVICE WORKERS", ,97828,3056,94772,97828,26973.8,1667.00,2638789168
"PRS-ANIMAL TRAINERS", ,50543,1868,48675,50543,16746.2,1661.63,846402360
"PRS-NONFARM ANIMAL CARETAKERS", ,309982,10308,299674,309982,12489.9,479.64,3871633694
