" "," ","Total DEAR","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
"     EAT-CHEFS AND HEAD COOKS", ,501335,10762,490573,501335,27149.7,701.36,13611077350
"     EAT-FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND SERVING WORKERS", ,653130,10456,642674,653130,22811.1,617.15,14898623580
"     EAT-COOKS", ,3136700,50553,3086147,3136700,13366.2,164.94,41925847698
"     EAT-FOOD PREPARATION WORKERS", ,1368983,25543,1343440,1368983,10404.3,204.01,14243243674
"     EAT-BARTENDERS", ,531358,7092,524266,531358,19399.9,594.48,10308272700
"     EAT-COMBINED FOOD PREPARATION AND SERVING WORKERS, INCLUDING FAST FOOD", ,537881,7824,530057,537881,10018.9,304.92,5388992430
"     EAT-COUNTER ATTENDANTS, CAFETERIA, FOOD CONCESSION, AND COFFEE SHOP", ,307589,3831,303758,307589,6527.2,287.71,2007693870
"     EAT-WAITERS AND WAITRESSES", ,2952977,25172,2927805,2952977,12746.5,154.80,37640155772
"     EAT-FOOD SERVERS, NONRESTAURANT", ,247798,4492,243306,247798,13246.4,508.33,3282442680
"     EAT-MISCELLANEOUS FOOD PREPARATION AND SERVING RELATED WORKERS, INCLUDING DINING ROOM AND CAFETERIA ATTENDANTS AND BARTENDER HELPERS", ,513349,9237,504112,513349,9847.7,325.18,5055289750
"     EAT-DISHWASHERS", ,500205,12774,487431,500205,8654.1,302.09,4328801530
"     EAT-HOSTS AND HOSTESSES, RESTAURANT, LOUNGE, AND COFFEE SHOP", ,448069,3716,444353,448069,6745.0,240.93,3022218890
"     CLN-FIRST-LINE SUPERVISORS OF HOUSEKEEPING AND JANITORIAL WORKERS", ,274195,8885,265310,274195,28790.0,1092.05,7894084340
"     CLN-FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN SERVICE, AND GROUNDSKEEPING WORKERS", ,180129,5942,174187,180129,29542.0,1377.92,5321366740
"     CLN-JANITORS AND BUILDING CLEANERS", ,3302683,116746,3185937,3302683,17568.9,191.48,58024617466
"     CLN-MAIDS AND HOUSEKEEPING CLEANERS", ,2094785,47602,2047183,2094785,10775.6,180.53,22572578360
"     CLN-PEST CONTROL WORKERS", ,87321,2407,84914,87321,27417.0,1509.37,2394081020
