sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
ENG,"ENG-SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",1190,37506,45992.9,"SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",Bachelor Degree
ENG,ENG-AEROSPACE ENGINEERS,1702,133700,91383.4,AEROSPACE ENGINEERS,Bachelor Degree
ENG,ENG-BIOMEDICAL AND AGRICULTURAL ENGINEERS,376,17167,75127.4,BIOMEDICAL AND AGRICULTURAL ENGINEERS,Bachelor Degree
ENG,ENG-CHEMICAL ENGINEERS,1113,73475,99119.3,CHEMICAL ENGINEERS,Bachelor Degree
ENG,ENG-CIVIL ENGINEERS,6701,352365,75839.1,CIVIL ENGINEERS,Bachelor Degree
ENG,ENG-COMPUTER HARDWARE ENGINEERS,908,57689,88170.8,COMPUTER HARDWARE ENGINEERS,Bachelor Degree
ENG,ENG-ELECTRICAL AND ELECTRONICS ENGINEERS,2642,239294,86267.1,ELECTRICAL AND ELECTRONICS ENGINEERS,Bachelor Degree
ENG,ENG-ENVIRONMENTAL ENGINEERS,1216,33272,70260.9,ENVIRONMENTAL ENGINEERS,Bachelor Degree
ENG,"ENG-INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",4837,220620,69411.2,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",Bachelor Degree
ENG,ENG-MARINE ENGINEERS AND NAVAL ARCHITECTS,971,13600,74885,MARINE ENGINEERS AND NAVAL ARCHITECTS,Bachelor Degree
ENG,ENG-MATERIALS ENGINEERS,575,47293,75485.1,MATERIALS ENGINEERS,Bachelor Degree
ENG,ENG-MECHANICAL ENGINEERS,3482,272204,77139.2,MECHANICAL ENGINEERS,Bachelor Degree
ENG,"ENG-PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",685,54866,123686,"PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",Bachelor Degree
ENG,"ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",10422,598949,85450.8,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",Bachelor Degree
ENG,ENG-DRAFTERS,5855,182359,41117.1,DRAFTERS,Some College
ENG,"ENG-ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",15942,421435,46954.4,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",Some College
ENG,ENG-SURVEYING AND MAPPING TECHNICIANS,3213,79386,38761.7,SURVEYING AND MAPPING TECHNICIANS,Some College
SCI,SCI-AGRICULTURAL AND FOOD SCIENTISTS,181,24777,51445.8,AGRICULTURAL AND FOOD SCIENTISTS,Bachelor Degree
SCI,SCI-BIOLOGICAL SCIENTISTS,1295,82336,56433,BIOLOGICAL SCIENTISTS,Bachelor Degree
SCI,SCI-CONSERVATION SCIENTISTS AND FORESTERS,503,22850,50453.5,CONSERVATION SCIENTISTS AND FORESTERS,Bachelor Degree
SCI,"SCI-MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER",1430,171791,79850.2,"MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
SCI,SCI-ASTRONOMERS AND PHYSICISTS,520,11211,85080.4,ASTRONOMERS AND PHYSICISTS,"Master, PhD, or Professional Degree"
SCI,SCI-ATMOSPHERIC AND SPACE SCIENTISTS,759,12943,66926.5,ATMOSPHERIC AND SPACE SCIENTISTS,Bachelor Degree
SCI,SCI-CHEMISTS AND MATERIALS SCIENTISTS,777,96724,70466.6,CHEMISTS AND MATERIALS SCIENTISTS,Bachelor Degree
SCI,SCI-ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,956,82426,83476.8,ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,Bachelor Degree
SCI,"SCI-PHYSICAL SCIENTISTS, ALL OTHER",2745,245203,71301.9,"PHYSICAL SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
SCI,SCI-ECONOMISTS,332,24636,114670.5,ECONOMISTS,"Master, PhD, or Professional Degree"
SCI,SCI-PSYCHOLOGISTS,6517,217286,47810.6,PSYCHOLOGISTS,"Master, PhD, or Professional Degree"
SCI,SCI-URBAN AND REGIONAL PLANNERS,1159,25315,58818.5,URBAN AND REGIONAL PLANNERS,Bachelor Degree
SCI,"SCI-MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",1188,46324,43341.5,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",Bachelor Degree
SCI,SCI-AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,1730,43363,40906.4,AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,Some College
SCI,SCI-BIOLOGICAL TECHNICIANS,388,26615,45529.1,BIOLOGICAL TECHNICIANS,Some College
SCI,SCI-CHEMICAL TECHNICIANS,2821,83169,46126.6,CHEMICAL TECHNICIANS,Some College
SCI,"SCI-GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",1477,26576,61703.9,"GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",Some College
SCI,"SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",5925,293641,28096.2,"MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",Some College
CMS,CMS-COUNSELORS,38606,935791,33950.1,COUNSELORS,Bachelor Degree
CMS,CMS-SOCIAL WORKERS,39311,938822,37545.2,SOCIAL WORKERS,Bachelor Degree
CMS,CMS-PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,3355,96906,44453.2,PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,Bachelor Degree
CMS,CMS-SOCIAL AND HUMAN SERVICE ASSISTANTS,10501,218326,29905.9,SOCIAL AND HUMAN SERVICE ASSISTANTS,Some College
CMS,"CMS-MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS",5490,110440,35288.4,"MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS",Bachelor Degree
CMS,CMS-CLERGY,22564,475875,35008.8,CLERGY,Bachelor Degree
CMS,"CMS-DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",1835,84551,33002.1,"DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",Bachelor Degree
CMS,"CMS-RELIGIOUS WORKERS, ALL OTHER",4091,90987,21169.3,"RELIGIOUS WORKERS, ALL OTHER",Some College
LGL,"LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS",27946,1213442,119680.5,"LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS","Master, PhD, or Professional Degree"
LGL,LGL-JUDICIAL LAW CLERKS,307,26468,46059.2,JUDICIAL LAW CLERKS,"Master, PhD, or Professional Degree"
LGL,LGL-PARALEGALS AND LEGAL ASSISTANTS,15616,464755,41805.2,PARALEGALS AND LEGAL ASSISTANTS,Some College
LGL,LGL-MISCELLANEOUS LEGAL SUPPORT WORKERS,5984,201693,43907.6,MISCELLANEOUS LEGAL SUPPORT WORKERS,Some College
EDU,EDU-POSTSECONDARY TEACHERS,51046,1792356,48287.2,POSTSECONDARY TEACHERS,"Master, PhD, or Professional Degree"
EDU,EDU-PRESCHOOL AND KINDERGARTEN TEACHERS,20889,715495,19187.1,PRESCHOOL AND KINDERGARTEN TEACHERS,Some College
EDU,EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS,99184,4188602,39087.1,ELEMENTARY AND MIDDLE SCHOOL TEACHERS,Bachelor Degree
EDU,EDU-SECONDARY SCHOOL TEACHERS,21605,928527,43177.4,SECONDARY SCHOOL TEACHERS,Bachelor Degree
EDU,EDU-SPECIAL EDUCATION TEACHERS,7178,301526,38621.3,SPECIAL EDUCATION TEACHERS,Bachelor Degree
EDU,EDU-OTHER TEACHERS AND INSTRUCTORS,36180,1159782,20139.2,OTHER TEACHERS AND INSTRUCTORS,Some College
EDU,"EDU-ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",1547,56785,36674.1,"ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",Bachelor Degree
EDU,EDU-LIBRARIANS,6508,209359,34169.4,LIBRARIANS,Bachelor Degree
