sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
MED, MED-PODIATRISTS,0,8428,116267.1,PODIATRISTS,"Master, PhD, or Professional Degree"
MED, MED-AUDIOLOGISTS,7,17283,59166.8,AUDIOLOGISTS,"Master, PhD, or Professional Degree"
MED, MED-OCCUPATIONAL THERAPISTS,1453,115902,53389.5,OCCUPATIONAL THERAPISTS,Bachelor Degree
MED, MED-PHYSICAL THERAPISTS,866,254989,60572.1,PHYSICAL THERAPISTS,"Master, PhD, or Professional Degree"
MED, MED-RADIATION THERAPISTS,100,18497,64577.8,RADIATION THERAPISTS,Bachelor Degree
MED, MED-RECREATIONAL THERAPISTS,0,12247,33030.4,RECREATIONAL THERAPISTS,Bachelor Degree
MED, MED-RESPIRATORY THERAPISTS,1631,112890,50166.8,RESPIRATORY THERAPISTS,Some College
MED, MED-SPEECH-LANGUAGE PATHOLOGISTS,1806,168062,47571.1,SPEECH-LANGUAGE PATHOLOGISTS,"Master, PhD, or Professional Degree"
MED," MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",2189,180051,35264.6,"OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",Bachelor Degree
MED, MED-VETERINARIANS,426,78926,83180.7,VETERINARIANS,"Master, PhD, or Professional Degree"
MED, MED-REGISTERED NURSES,38626,3486306,53748.8,REGISTERED NURSES,Bachelor Degree
MED, MED-NURSE ANESTHETISTS,469,30012,142463.3,NURSE ANESTHETISTS,"Master, PhD, or Professional Degree"
MED," MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES",753,142203,85312.5,"NURSE PRACTITIONERS, AND NURSE MIDWIVES","Master, PhD, or Professional Degree"
MED," MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",108,30551,30935.3,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",Bachelor Degree
MED, MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,3629,381940,39443.1,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,Some College
MED, MED-DENTAL HYGIENISTS,1815,198051,44156.4,DENTAL HYGIENISTS,Some College
MED, MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,2788,389092,48135.7,DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,Some College
MED, MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,2756,230202,38385.9,EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,Some College
MED, MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,8293,720362,27142.3,HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,Some College
MED, MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,19578,981726,30436.4,LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,Some College
MED, MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,2757,210395,33079.5,MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,Some College
MED," MED-OPTICIANS, DISPENSING",738,64967,33525.4,"OPTICIANS, DISPENSING",Some College
MED, MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,1815,144989,39907.2,MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,Some College
MED, MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,2075,149817,50273.5,OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,Bachelor Degree
HLS," HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",58455,2533964,18920.1,"NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",Some College
HLS, HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,142,24832,34523.4,OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,Some College
HLS, HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES,743,101482,30485.1,PHYSICAL THERAPIST ASSISTANTS AND AIDES,Some College
HLS, HLS-MASSAGE THERAPISTS,3905,202001,14391.2,MASSAGE THERAPISTS,Some College
